ltla24_name,ltla24_code,domain,subdomain,indicator,value,quantile
Aberdeenshire,S12000034,Healthy Places,Crime,Low level crime,27.639810427,5
Aberdeenshire,S12000034,Healthy Places,Crime,Personal crime,143.696682465,5
Aberdeenshire,S12000034,Healthy Places,Access to services,Pharmacy travel time,8.6,4
Aberdeenshire,S12000034,Healthy Places,Access to green space,Private outdoor space,94.1,2
Aberdeenshire,S12000034,Healthy Places,Living conditions,Road safety,0.01851859560926065,4
Aberdeenshire,S12000034,Healthy Places,Living conditions,Rough sleeping,35.94128329297821,4
Aberdeenshire,S12000034,Healthy Places,Access to services,Sports centre travel time,12.400000000000002,2
Aberdeenshire,S12000034,Healthy Places,Living conditions,Traffic volume,0.31252108573064236,4
Aberdeenshire,S12000034,Healthy Places,Economic and working conditions,Unemployment,3.03144831,4
Aberdeenshire,S12000034,Healthy Places,Economic and working conditions,Workplace safety,214,4
Angus,S12000041,Healthy Lives,Behavioural risk factors,Alcohol misuse,310.83202511773936,2
Angus,S12000041,Healthy Lives,Protective measures,Cancer screening,70.6,4
Angus,S12000041,Healthy Lives,Protective measures,Child vaccine coverage,94.35833333333333,3
Angus,S12000041,Healthy Lives,Behavioural risk factors,Drug misuse,144.01690975782313,2
Angus,S12000041,Healthy Lives,Children and young people,Early years development,17.35159817351598,3
Angus,S12000041,Healthy Lives,Behavioural risk factors,Healthy eating,15,1
Angus,S12000041,Healthy Lives,Physiological risk factors,High blood pressure,26,2
Angus,S12000041,Healthy Lives,Physiological risk factors,Low birth weight,16.5,2
Angus,S12000041,Healthy Lives,Children and young people,National five attainment,65.75,1
Angus,S12000041,Healthy Lives,Physiological risk factors,Overweight obesity adults,69,2
Angus,S12000041,Healthy Lives,Physiological risk factors,Overweight obesity children,16.613756613756614,2
Angus,S12000041,Healthy Lives,Behavioural risk factors,Physical activity,65,3
Angus,S12000041,Healthy Lives,Children and young people,Pupil absence,23.6,1
Angus,S12000041,Healthy Lives,Behavioural risk factors,Sedentary behaviour,24,1
Angus,S12000041,Healthy Lives,Behavioural risk factors,Sexual health,577,4
Angus,S12000041,Healthy Lives,Behavioural risk factors,Smoking,17,1
Angus,S12000041,Healthy Lives,Children and young people,Teenage pregnancy,30.3,1
Angus,S12000041,Healthy Lives,Children and young people,Young people training,93.1,2
Angus,S12000041,Healthy People,Mortality,All mortality,1070,3
Angus,S12000041,Healthy People,Personal wellbeing,Anxiety,3.11,3
Angus,S12000041,Healthy People,Mortality,Avoidable deaths,275.2,4
Angus,S12000041,Healthy People,Physical health conditions,Cancer,572.1,5
Angus,S12000041,Healthy People,Physical health conditions,Cardiovascular conditions,14.599686028257455,4
Angus,S12000041,Healthy People,Physical health conditions,Dementia,52,4
Angus,S12000041,Healthy People,Physical health conditions,Diabetes,6.1,3
Angus,S12000041,Healthy People,Difficulties in daily life,Disability,19.730435815223846,3
Angus,S12000041,Healthy People,Personal wellbeing,Happiness,7.52,3
Angus,S12000041,Healthy People,Mortality,Healthy life expectancy,61.86877023768515,3
Angus,S12000041,Healthy People,Mortality,Infant mortality,3.2,2
Angus,S12000041,Healthy People,Personal wellbeing,Life satisfaction,7.4,2
Angus,S12000041,Healthy People,Personal wellbeing,Life worthwhileness,7.72,2
Angus,S12000041,Healthy People,Mental health,Mental health conditions,21.2,2
Angus,S12000041,Healthy People,Physical health conditions,Musculoskeletal conditions,0.8578122954738316,2
Angus,S12000041,Healthy People,Mental health,Suicides,15.8,4
Angus,S12000041,Healthy Places,Living conditions,Air pollution,3.2643,4
Angus,S12000041,Healthy Places,Economic and working conditions,Child poverty,17.299999999999997,2
Angus,S12000041,Healthy Places,Access to services,Gp appointments,0.7025,2
Angus,S12000041,Healthy Places,Access to services,Gp travel time,10.083333333333334,4
Angus,S12000041,Healthy Places,Living conditions,Household overcrowding,1.5,4
Angus,S12000041,Healthy Places,Access to services,Internet access,0.8369999999999999,1
Angus,S12000041,Healthy Places,Economic and working conditions,Job training,17.5,5
Angus,S12000041,Healthy Places,Crime,Low level crime,48.665620094,4
Angus,S12000041,Healthy Places,Crime,Personal crime,183.237397524,4
Angus,S12000041,Healthy Places,Access to services,Pharmacy travel time,8.566666666666666,4
Angus,S12000041,Healthy Places,Access to green space,Private outdoor space,94.39999999999999,2
Angus,S12000041,Healthy Places,Living conditions,Road safety,0.021052506487853572,4
Angus,S12000041,Healthy Places,Living conditions,Rough sleeping,30.48249433896534,4
Angus,S12000041,Healthy Places,Access to services,Sports centre travel time,14.816666666666666,1
Angus,S12000041,Healthy Places,Living conditions,Traffic volume,0.3185793427433668,4
Angus,S12000041,Healthy Places,Economic and working conditions,Unemployment,3.1229932,3
Angus,S12000041,Healthy Places,Economic and working conditions,Workplace safety,302,2
Argyll and Bute,S12000035,Healthy Lives,Behavioural risk factors,Alcohol misuse,524.909008189263,1
Argyll and Bute,S12000035,Healthy Lives,Protective measures,Cancer screening,67.5,3
Argyll and Bute,S12000035,Healthy Lives,Protective measures,Child vaccine coverage,91.40541666666667,1
Argyll and Bute,S12000035,Healthy Lives,Behavioural risk factors,Drug misuse,162.69256897392063,2
Argyll and Bute,S12000035,Healthy Lives,Children and young people,Early years development,14.678899082568808,4
Argyll and Bute,S12000035,Healthy Lives,Behavioural risk factors,Healthy eating,16,1
Argyll and Bute,S12000035,Healthy Lives,Physiological risk factors,High blood pressure,32,1
Argyll and Bute,S12000035,Healthy Lives,Physiological risk factors,Low birth weight,14.700000000000003,4
Argyll and Bute,S12000035,Healthy Lives,Children and young people,National five attainment,72.05,3
Argyll and Bute,S12000035,Healthy Lives,Physiological risk factors,Overweight obesity adults,68,2
Argyll and Bute,S12000035,Healthy Lives,Physiological risk factors,Overweight obesity children,18.421052631578945,1
Argyll and Bute,S12000035,Healthy Lives,Behavioural risk factors,Physical activity,66,3
Argyll and Bute,S12000035,Healthy Lives,Children and young people,Pupil absence,10,4
Argyll and Bute,S12000035,Healthy Lives,Behavioural risk factors,Sedentary behaviour,20,3
Argyll and Bute,S12000035,Healthy Lives,Behavioural risk factors,Sexual health,374,2
Argyll and Bute,S12000035,Healthy Lives,Behavioural risk factors,Smoking,16,2
Argyll and Bute,S12000035,Healthy Lives,Children and young people,Teenage pregnancy,15.7,5
Argyll and Bute,S12000035,Healthy Lives,Children and young people,Young people training,95.6,4
Argyll and Bute,S12000035,Healthy People,Mortality,All mortality,1060,4
Argyll and Bute,S12000035,Healthy People,Personal wellbeing,Anxiety,2.62,5
Argyll and Bute,S12000035,Healthy People,Mortality,Avoidable deaths,279.2,4
Argyll and Bute,S12000035,Healthy People,Physical health conditions,Cancer,608,3
Argyll and Bute,S12000035,Healthy People,Physical health conditions,Cardiovascular conditions,18.767060964513192,3
Argyll and Bute,S12000035,Healthy People,Physical health conditions,Dementia,54,3
Argyll and Bute,S12000035,Healthy People,Physical health conditions,Diabetes,6.4,3
Argyll and Bute,S12000035,Healthy People,Difficulties in daily life,Disability,19.67606478704259,3
Argyll and Bute,S12000035,Healthy People,Personal wellbeing,Happiness,7.73,5
Argyll and Bute,S12000035,Healthy People,Mortality,Healthy life expectancy,64.14989329621898,4
Argyll and Bute,S12000035,Healthy People,Mortality,Infant mortality,1.3,5
Argyll and Bute,S12000035,Healthy People,Personal wellbeing,Life satisfaction,7.75,5
Argyll and Bute,S12000035,Healthy People,Personal wellbeing,Life worthwhileness,7.99,5
Argyll and Bute,S12000035,Healthy People,Mental health,Mental health conditions,19.5,3
Argyll and Bute,S12000035,Healthy People,Physical health conditions,Musculoskeletal conditions,0.8996357916768231,1
Argyll and Bute,S12000035,Healthy People,Mental health,Suicides,17.3,3
Argyll and Bute,S12000035,Healthy Places,Living conditions,Air pollution,2.6818,5
Argyll and Bute,S12000035,Healthy Places,Economic and working conditions,Child poverty,15.5,3
Argyll and Bute,S12000035,Healthy Places,Access to services,Gp appointments,0.813,5
Argyll and Bute,S12000035,Healthy Places,Access to services,Gp travel time,24.866666666666667,1
Argyll and Bute,S12000035,Healthy Places,Living conditions,Household overcrowding,1.3,4
Argyll and Bute,S12000035,Healthy Places,Access to services,Internet access,0.903,2
Argyll and Bute,S12000035,Healthy Places,Economic and working conditions,Job training,10,3
Argyll and Bute,S12000035,Healthy Places,Crime,Low level crime,22.634212921,5
Argyll and Bute,S12000035,Healthy Places,Crime,Personal crime,184.372156506,4
Argyll and Bute,S12000035,Healthy Places,Access to services,Pharmacy travel time,17.633333333333333,1
Argyll and Bute,S12000035,Healthy Places,Access to green space,Private outdoor space,87.8,1
Argyll and Bute,S12000035,Healthy Places,Living conditions,Road safety,0.008280152791304975,5
Argyll and Bute,S12000035,Healthy Places,Living conditions,Rough sleeping,62.63523516683749,2
Argyll and Bute,S12000035,Healthy Places,Access to services,Sports centre travel time,13.55,2
Argyll and Bute,S12000035,Healthy Places,Living conditions,Traffic volume,0.08505715574240524,5
Argyll and Bute,S12000035,Healthy Places,Economic and working conditions,Unemployment,2.91296074,4
Argyll and Bute,S12000035,Healthy Places,Economic and working conditions,Workplace safety,390,1
East Ayrshire,S12000008,Healthy Lives,Behavioural risk factors,Alcohol misuse,347.28798072929646,2
East Ayrshire,S12000008,Healthy Lives,Protective measures,Cancer screening,64.8,2
East Ayrshire,S12000008,Healthy Lives,Protective measures,Child vaccine coverage,93.72,2
East Ayrshire,S12000008,Healthy Lives,Behavioural risk factors,Drug misuse,216.87271891781958,2
East Ayrshire,S12000008,Healthy Lives,Children and young people,Early years development,19.158878504672895,2
East Ayrshire,S12000008,Healthy Lives,Behavioural risk factors,Healthy eating,15,1
East Ayrshire,S12000008,Healthy Lives,Physiological risk factors,High blood pressure,28,1
East Ayrshire,S12000008,Healthy Lives,Physiological risk factors,Low birth weight,16,3
East Ayrshire,S12000008,Healthy Lives,Children and young people,National five attainment,71.85000000000001,2
East Ayrshire,S12000008,Healthy Lives,Physiological risk factors,Overweight obesity adults,75,1
East Ayrshire,S12000008,Healthy Lives,Physiological risk factors,Overweight obesity children,15.5188246097337,3
East Ayrshire,S12000008,Healthy Lives,Behavioural risk factors,Physical activity,60,1
East Ayrshire,S12000008,Healthy Lives,Children and young people,Pupil absence,17.3,3
East Ayrshire,S12000008,Healthy Lives,Behavioural risk factors,Sedentary behaviour,24,1
East Ayrshire,S12000008,Healthy Lives,Behavioural risk factors,Sexual health,394.5,2
East Ayrshire,S12000008,Healthy Lives,Behavioural risk factors,Smoking,13,4
East Ayrshire,S12000008,Healthy Lives,Children and young people,Teenage pregnancy,25.9,2
East Ayrshire,S12000008,Healthy Lives,Children and young people,Young people training,94,2
East Ayrshire,S12000008,Healthy People,Mortality,All mortality,1300,1
East Ayrshire,S12000008,Healthy People,Personal wellbeing,Anxiety,3.39,2
East Ayrshire,S12000008,Healthy People,Mortality,Avoidable deaths,394.8,1
East Ayrshire,S12000008,Healthy People,Physical health conditions,Cancer,598.9,4
East Ayrshire,S12000008,Healthy People,Physical health conditions,Cardiovascular conditions,20.39205914112468,2
East Ayrshire,S12000008,Healthy People,Physical health conditions,Dementia,50,4
East Ayrshire,S12000008,Healthy People,Physical health conditions,Diabetes,7.3,5
East Ayrshire,S12000008,Healthy People,Difficulties in daily life,Disability,22.7688740918465,1
East Ayrshire,S12000008,Healthy People,Personal wellbeing,Happiness,7.37,2
East Ayrshire,S12000008,Healthy People,Mortality,Healthy life expectancy,58.39677184068185,1
East Ayrshire,S12000008,Healthy People,Mortality,Infant mortality,2.4,4
East Ayrshire,S12000008,Healthy People,Personal wellbeing,Life satisfaction,7.3,1
East Ayrshire,S12000008,Healthy People,Personal wellbeing,Life worthwhileness,7.56,1
East Ayrshire,S12000008,Healthy People,Mental health,Mental health conditions,21.8,2
East Ayrshire,S12000008,Healthy People,Physical health conditions,Musculoskeletal conditions,0.8491717098010626,2
East Ayrshire,S12000008,Healthy People,Mental health,Suicides,23.5,1
East Ayrshire,S12000008,Healthy Places,Living conditions,Air pollution,3.6089,3
East Ayrshire,S12000008,Healthy Places,Economic and working conditions,Child poverty,21.2,1
East Ayrshire,S12000008,Healthy Places,Access to services,Gp appointments,0.6468,1
East Ayrshire,S12000008,Healthy Places,Access to services,Gp travel time,9.633333333333333,4
East Ayrshire,S12000008,Healthy Places,Living conditions,Household overcrowding,1.7,3
East Ayrshire,S12000008,Healthy Places,Access to services,Internet access,0.962,5
East Ayrshire,S12000008,Healthy Places,Economic and working conditions,Job training,9.7,3
East Ayrshire,S12000008,Healthy Places,Crime,Low level crime,69.191793338,2
East Ayrshire,S12000008,Healthy Places,Crime,Personal crime,248.691751808,2
East Ayrshire,S12000008,Healthy Places,Access to services,Pharmacy travel time,11.524999999999999,2
East Ayrshire,S12000008,Healthy Places,Access to green space,Private outdoor space,96.89999999999999,3
East Ayrshire,S12000008,Healthy Places,Living conditions,Road safety,0.041719822720024495,3
East Ayrshire,S12000008,Healthy Places,Living conditions,Rough sleeping,37.267080745341616,4
East Ayrshire,S12000008,Healthy Places,Access to services,Sports centre travel time,11.649999999999999,2
East Ayrshire,S12000008,Healthy Places,Living conditions,Traffic volume,0.5613284072009334,3
East Ayrshire,S12000008,Healthy Places,Economic and working conditions,Unemployment,3.81027272,1
East Ayrshire,S12000008,Healthy Places,Economic and working conditions,Workplace safety,224,4
North Ayrshire,S12000021,Healthy Lives,Behavioural risk factors,Alcohol misuse,368.64184583114843,2
North Ayrshire,S12000021,Healthy Lives,Protective measures,Cancer screening,64,1
North Ayrshire,S12000021,Healthy Lives,Protective measures,Child vaccine coverage,94.37125,3
North Ayrshire,S12000021,Healthy Lives,Behavioural risk factors,Drug misuse,204.4319867049539,2
North Ayrshire,S12000021,Healthy Lives,Children and young people,Early years development,20.47244094488189,1
North Ayrshire,S12000021,Healthy Lives,Behavioural risk factors,Healthy eating,15,1
North Ayrshire,S12000021,Healthy Lives,Physiological risk factors,High blood pressure,27,1
North Ayrshire,S12000021,Healthy Lives,Physiological risk factors,Low birth weight,18.700000000000003,1
North Ayrshire,S12000021,Healthy Lives,Children and young people,National five attainment,73.25,3
North Ayrshire,S12000021,Healthy Lives,Physiological risk factors,Overweight obesity adults,70,2
North Ayrshire,S12000021,Healthy Lives,Physiological risk factors,Overweight obesity children,15.66265060240964,3
North Ayrshire,S12000021,Healthy Lives,Behavioural risk factors,Physical activity,59,1
North Ayrshire,S12000021,Healthy Lives,Children and young people,Pupil absence,21.7,1
North Ayrshire,S12000021,Healthy Lives,Behavioural risk factors,Sedentary behaviour,26,1
North Ayrshire,S12000021,Healthy Lives,Behavioural risk factors,Sexual health,394.5,2
North Ayrshire,S12000021,Healthy Lives,Behavioural risk factors,Smoking,20,1
North Ayrshire,S12000021,Healthy Lives,Children and young people,Teenage pregnancy,27.7,2
North Ayrshire,S12000021,Healthy Lives,Children and young people,Young people training,93.9,2
North Ayrshire,S12000021,Healthy People,Mortality,All mortality,1270,1
North Ayrshire,S12000021,Healthy People,Personal wellbeing,Anxiety,3.54,1
North Ayrshire,S12000021,Healthy People,Mortality,Avoidable deaths,392.2,1
North Ayrshire,S12000021,Healthy People,Physical health conditions,Cancer,658.7,1
North Ayrshire,S12000021,Healthy People,Physical health conditions,Cardiovascular conditions,18.900292156715857,2
North Ayrshire,S12000021,Healthy People,Physical health conditions,Dementia,53,3
North Ayrshire,S12000021,Healthy People,Physical health conditions,Diabetes,7.3,5
North Ayrshire,S12000021,Healthy People,Difficulties in daily life,Disability,23.992348681513867,1
North Ayrshire,S12000021,Healthy People,Personal wellbeing,Happiness,7.42,3
North Ayrshire,S12000021,Healthy People,Mortality,Healthy life expectancy,54.18975413500224,1
North Ayrshire,S12000021,Healthy People,Mortality,Infant mortality,2.8,4
North Ayrshire,S12000021,Healthy People,Personal wellbeing,Life satisfaction,7.34,1
North Ayrshire,S12000021,Healthy People,Personal wellbeing,Life worthwhileness,7.64,1
North Ayrshire,S12000021,Healthy People,Mental health,Mental health conditions,23,1
North Ayrshire,S12000021,Healthy People,Physical health conditions,Musculoskeletal conditions,0.8762021474262942,1
North Ayrshire,S12000021,Healthy People,Mental health,Suicides,20.1,2
North Ayrshire,S12000021,Healthy Places,Living conditions,Air pollution,3.3219,4
North Ayrshire,S12000021,Healthy Places,Economic and working conditions,Child poverty,23,1
North Ayrshire,S12000021,Healthy Places,Access to services,Gp appointments,0.6468,1
North Ayrshire,S12000021,Healthy Places,Access to services,Gp travel time,8.966666666666667,5
North Ayrshire,S12000021,Healthy Places,Living conditions,Household overcrowding,1.9,2
North Ayrshire,S12000021,Healthy Places,Access to services,Internet access,0.921,3
North Ayrshire,S12000021,Healthy Places,Economic and working conditions,Job training,10.1,3
North Ayrshire,S12000021,Healthy Places,Crime,Low level crime,81.953704397,2
North Ayrshire,S12000021,Healthy Places,Crime,Personal crime,255.374934452,1
North Ayrshire,S12000021,Healthy Places,Access to services,Pharmacy travel time,9.075,3
North Ayrshire,S12000021,Healthy Places,Access to green space,Private outdoor space,95.8,2
North Ayrshire,S12000021,Healthy Places,Living conditions,Road safety,0.05534259157345591,3
North Ayrshire,S12000021,Healthy Places,Living conditions,Rough sleeping,14.973422175638241,5
North Ayrshire,S12000021,Healthy Places,Access to services,Sports centre travel time,9.424999999999999,4
North Ayrshire,S12000021,Healthy Places,Living conditions,Traffic volume,0.5597507833429541,3
North Ayrshire,S12000021,Healthy Places,Economic and working conditions,Unemployment,4.00287333,1
North Ayrshire,S12000021,Healthy Places,Economic and working conditions,Workplace safety,266,3
South Ayrshire,S12000028,Healthy Lives,Behavioural risk factors,Alcohol misuse,437.79132305485837,2
South Ayrshire,S12000028,Healthy Lives,Protective measures,Cancer screening,68.4,3
South Ayrshire,S12000028,Healthy Lives,Protective measures,Child vaccine coverage,95.08333333333333,4
South Ayrshire,S12000028,Healthy Lives,Behavioural risk factors,Drug misuse,305.43319349997404,1
South Ayrshire,S12000028,Healthy Lives,Children and young people,Early years development,14.987405541561714,4
South Ayrshire,S12000028,Healthy Lives,Behavioural risk factors,Healthy eating,15,1
South Ayrshire,S12000028,Healthy Lives,Physiological risk factors,High blood pressure,32,1
South Ayrshire,S12000028,Healthy Lives,Physiological risk factors,Low birth weight,16.400000000000006,2
South Ayrshire,S12000028,Healthy Lives,Children and young people,National five attainment,73.85,4
South Ayrshire,S12000028,Healthy Lives,Physiological risk factors,Overweight obesity adults,64,4
South Ayrshire,S12000028,Healthy Lives,Physiological risk factors,Overweight obesity children,13.934426229508196,4
South Ayrshire,S12000028,Healthy Lives,Behavioural risk factors,Physical activity,63,2
South Ayrshire,S12000028,Healthy Lives,Children and young people,Pupil absence,15.7,3
South Ayrshire,S12000028,Healthy Lives,Behavioural risk factors,Sedentary behaviour,24,1
South Ayrshire,S12000028,Healthy Lives,Behavioural risk factors,Sexual health,394.5,2
South Ayrshire,S12000028,Healthy Lives,Behavioural risk factors,Smoking,15,3
South Ayrshire,S12000028,Healthy Lives,Children and young people,Teenage pregnancy,23.1,3
South Ayrshire,S12000028,Healthy Lives,Children and young people,Young people training,96.6,5
South Ayrshire,S12000028,Healthy People,Mortality,All mortality,1170,2
South Ayrshire,S12000028,Healthy People,Personal wellbeing,Anxiety,3.22,3
South Ayrshire,S12000028,Healthy People,Mortality,Avoidable deaths,318.8,2
South Ayrshire,S12000028,Healthy People,Physical health conditions,Cancer,617.1,3
South Ayrshire,S12000028,Healthy People,Physical health conditions,Cardiovascular conditions,26.228038723556832,1
South Ayrshire,S12000028,Healthy People,Physical health conditions,Dementia,47,5
South Ayrshire,S12000028,Healthy People,Physical health conditions,Diabetes,7.3,5
South Ayrshire,S12000028,Healthy People,Difficulties in daily life,Disability,21.046475838719605,2
South Ayrshire,S12000028,Healthy People,Personal wellbeing,Happiness,7.54,4
South Ayrshire,S12000028,Healthy People,Mortality,Healthy life expectancy,61.03152512227657,3
South Ayrshire,S12000028,Healthy People,Mortality,Infant mortality,2.6,4
South Ayrshire,S12000028,Healthy People,Personal wellbeing,Life satisfaction,7.58,3
South Ayrshire,S12000028,Healthy People,Personal wellbeing,Life worthwhileness,7.98,5
South Ayrshire,S12000028,Healthy People,Mental health,Mental health conditions,23,1
