"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval"
"S12000017","Council area","Highland",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,22.3,27.2,17.5
"S12000018","Council area","Inverclyde",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,19,23.5,14.5
"S12000019","Council area","Midlothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,20.7,26.2,15.1
"S12000020","Council area","Moray",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,22.1,29,15.3
"S12000021","Council area","North Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,20.2,25.3,15
"S12000023","Council area","Orkney Islands",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,16.2,25.8,6.5
"S12000026","Council area","Scottish Borders",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,22.8,29.5,16.2
"S12000027","Council area","Shetland Islands",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,13.5,18.9,8.1
"S12000028","Council area","South Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,19.9,25.7,14.1
"S12000029","Council area","South Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,19.1,22.3,15.9
"S12000030","Council area","Stirling",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,13.8,18.7,8.8
"S12000033","Council area","Aberdeen City",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,18,21.7,14.4
"S12000034","Council area","Aberdeenshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,17.2,20.8,13.7
"S12000035","Council area","Argyll & Bute",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,17.5,22.1,12.9
"S12000036","Council area","City of Edinburgh",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,17,19.2,14.8
"S12000038","Council area","Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,19.3,23.7,14.9
"S12000039","Council area","West Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,21.2,25.9,16.4
"S12000040","Council area","West Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,20.9,26.1,15.6
"S12000041","Council area","Angus",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,24.6,31,18.2
"S12000042","Council area","Dundee City",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,15,18.8,11.2
"S12000045","Council area","East Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,10.3,14.7,5.9
"S12000047","Council area","Fife",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,21.4,24.9,17.9
"S12000048","Council area","Perth & Kinross",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,15.3,20.6,10
"S12000049","Council area","Glasgow City",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,21.6,24.1,19.1
"S12000050","Council area","North Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,21.8,25.3,18.4
"S12000005","Council area","Clackmannanshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,28.8,36.3,21.3
"S12000006","Council area","Dumfries & Galloway",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,23.7,29.4,18
"S12000008","Council area","East Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,18.1,23.4,12.8
"S12000010","Council area","East Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,24.6,32,17.2
"S12000011","Council area","East Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,9.6,14.3,5
"S12000013","Council area","Na h-Eileanan Siar",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,20.3,26.6,14.1
"S12000014","Council area","Falkirk",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,18.5,23.6,13.3
"S12000017","Council area","Highland",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,20,24.9,15.1
"S12000018","Council area","Inverclyde",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,20.6,26.3,14.9
"S12000019","Council area","Midlothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,22.4,29.1,15.7
"S12000020","Council area","Moray",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,19.4,25.7,13
"S12000021","Council area","North Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,22,28.2,15.9
"S12000023","Council area","Orkney Islands",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,12.2,19.8,4.6
"S12000026","Council area","Scottish Borders",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,20.1,27.4,12.8
"S12000027","Council area","Shetland Islands",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,15.1,22.2,8.1
"S12000028","Council area","South Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,18.6,24.3,12.8
"S12000029","Council area","South Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,21,25.1,16.9
"S12000030","Council area","Stirling",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,18.4,24.9,11.9
"S12000033","Council area","Aberdeen City",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,18.6,23.2,14
"S12000034","Council area","Aberdeenshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,14.6,18.3,10.9
"S12000035","Council area","Argyll & Bute",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,16.5,21.8,11.1
"S12000036","Council area","City of Edinburgh",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,18.8,21.6,15.9
"S12000038","Council area","Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,19.5,24.3,14.7
"S12000039","Council area","West Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,20.4,26,14.8
"S12000040","Council area","West Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,22.6,29.1,16.1
"S12000041","Council area","Angus",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,22.8,30,15.6
"S12000042","Council area","Dundee City",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,17.9,23.7,12.1
"S12000045","Council area","East Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,10.7,15.6,5.8
"S12000047","Council area","Fife",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,20.5,24.6,16.4
"S12000048","Council area","Perth & Kinross",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,16,22.2,9.9
"S12000049","Council area","Glasgow City",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,23.6,27,20.2
"S12000050","Council area","North Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults 35-64 years",NA,23.3,27.7,18.8
"S12000005","Council area","Clackmannanshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,16.6,25.3,7.9
"S12000006","Council area","Dumfries & Galloway",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,11.7,16.4,7
"S12000008","Council area","East Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,10.4,15.8,5.1
"S12000010","Council area","East Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,9.9,15.2,4.6
"S12000011","Council area","East Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,6.4,10.7,2.1
"S12000013","Council area","Na h-Eileanan Siar",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,9.3,14,4.5
"S12000014","Council area","Falkirk",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,8.3,12.5,4.2
"S12000017","Council area","Highland",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,8.4,11.7,5.1
"S12000018","Council area","Inverclyde",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,17.2,24.4,10
"S12000019","Council area","Midlothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,10.3,16.6,3.9
"S12000020","Council area","Moray",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,15.2,24.1,6.3
"S12000021","Council area","North Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,12.5,18,7
"S12000023","Council area","Orkney Islands",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,9.2,20.9,0
"S12000026","Council area","Scottish Borders",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,7.6,11.8,3.5
"S12000027","Council area","Shetland Islands",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,19.2,32.3,6.1
"S12000028","Council area","South Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,8.9,13.4,4.3
"S12000029","Council area","South Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,12.5,16.6,8.4
"S12000030","Council area","Stirling",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,10.7,16.1,5.3
"S12000033","Council area","Aberdeen City",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,7.4,10.6,4.1
"S12000034","Council area","Aberdeenshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,8.8,13,4.6
"S12000035","Council area","Argyll & Bute",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,7.5,10.9,4.1
"S12000036","Council area","City of Edinburgh",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,7.3,10.2,4.4
"S12000038","Council area","Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,15.6,21.6,9.7
"S12000039","Council area","West Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,11.7,16.4,6.9
"S12000040","Council area","West Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,15.4,22.1,8.8
"S12000041","Council area","Angus",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,7.2,11.1,3.3
"S12000042","Council area","Dundee City",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,12.6,18.6,6.5
"S12000045","Council area","East Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,4.3,7.9,0.6
"S12000047","Council area","Fife",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,11.8,15.3,8.4
"S12000048","Council area","Perth & Kinross",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,10.2,16,4.3
"S12000049","Council area","Glasgow City",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,14.9,19.1,10.8
"S12000050","Council area","North Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged adults >65 years",NA,13.7,17.9,9.5
"S12000005","Council area","Clackmannanshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,24,31.5,16.5
"S12000006","Council area","Dumfries & Galloway",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,23,29,17
"S12000008","Council area","East Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,17,22.5,11.5
"S12000010","Council area","East Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,17.5,25,10
"S12000011","Council area","East Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,10.5,16.5,4.5
"S12000013","Council area","Na h-Eileanan Siar",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,21.5,29.5,13.5
"S12000014","Council area","Falkirk",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,14,18.5,9.5
"S12000017","Council area","Highland",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,20.5,26.5,14.5
"S12000018","Council area","Inverclyde",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,16,21,11
"S12000019","Council area","Midlothian",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,16.5,22.5,10.5
"S12000020","Council area","Moray",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,21.5,29.5,13.5
"S12000021","Council area","North Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,20.5,27.5,13.5
"S12000023","Council area","Orkney Islands",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,13.5,21,6
"S12000026","Council area","Scottish Borders",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,19.5,27,12
"S12000027","Council area","Shetland Islands",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,18,27,9
"S12000028","Council area","South Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,20,26.5,13.5
"S12000029","Council area","South Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,17,21,13
"S12000030","Council area","Stirling",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,14,19.5,8.5
"S12000033","Council area","Aberdeen City",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,20,25,15
"S12000034","Council area","Aberdeenshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,17.5,22.5,12.5
"S12000035","Council area","Argyll & Bute",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,15.5,21,10
"S12000036","Council area","City of Edinburgh",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,18,21,15
"S12000038","Council area","Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,20.5,26,15
"S12000039","Council area","West Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,21,27.5,14.5
"S12000040","Council area","West Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,20.5,27,14
"S12000041","Council area","Angus",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,20,27,13
"S12000042","Council area","Dundee City",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,16,21.5,10.5
"S12000045","Council area","East Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,7,10.5,3.5
"S12000047","Council area","Fife",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,21.5,26.5,16.5
"S12000048","Council area","Perth & Kinross",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,16.5,23.5,9.5
"S12000049","Council area","Glasgow City",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,25,28.5,21.5
"S12000050","Council area","North Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, men aged >16 years",NA,19.5,24,15
"S12000005","Council area","Clackmannanshire",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,25.5,34,17
"S12000006","Council area","Dumfries & Galloway",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,21.5,26.5,16.5
"S12000008","Council area","East Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,13,17.5,8.5
"S12000010","Council area","East Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,23,29.5,16.5
"S12000011","Council area","East Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,7,10,4
"S12000013","Council area","Na h-Eileanan Siar",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,12,17,7
"S12000014","Council area","Falkirk",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,15,20,10
"S12000017","Council area","Highland",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,16.5,21.5,11.5
"S12000018","Council area","Inverclyde",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,21,27,15
"S12000019","Council area","Midlothian",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,19.5,26,13
"S12000020","Council area","Moray",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,19.5,27.5,11.5
"S12000021","Council area","North Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,16,21,11
"S12000023","Council area","Orkney Islands",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,15,27.5,2.5
"S12000026","Council area","Scottish Borders",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,17,24,10
"S12000027","Council area","Shetland Islands",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,12,17.5,6.5
"S12000028","Council area","South Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,13.5,19,8
"S12000029","Council area","South Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,18,22,14
"S12000030","Council area","Stirling",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,12.5,18.5,6.5
"S12000033","Council area","Aberdeen City",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,12,15.5,8.5
"S12000034","Council area","Aberdeenshire",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,13,16.5,9.5
"S12000035","Council area","Argyll & Bute",2019,"2019 survey year","Percentage","Smoking prevalence, women aged >16 years",NA,13.5,18.5,8.5
